id,title,description,availability,condition,price,link,image_link,brand,quantity_to_sell_on_facebook,sale_price,sale_price_effective_date,color,size,age_group,material,pattern,shipping,shipping_weight,gtin,video[0].url,video[0].tag[0],style[0]
200013,CHESTNUT CREAM JAM 2,CHESTNUT CREAM JAM 2 from Honey & Jams category,in stock,new,39.00 AED,https://yourwebsite.com/menu/200013,http://43.205.113.48/iposapi/images/Cat92.png,Restaurant,100,,,,,all ages,,,,,200013,,,
200015,HONEY ACACIA 250G,HONEY ACACIA 250G from Honey & Jams category,in stock,new,59.00 AED,https://yourwebsite.com/menu/200015,http://43.205.113.48/iposapi/images/Cat92.png,Restaurant,100,,,,,all ages,,,,,200015,,,
200016,HONEY ALL FLOWERS 23,HONEY ALL FLOWERS 23 from Honey & Jams category,in stock,new,59.00 AED,https://yourwebsite.com/menu/200016,http://43.205.113.48/iposapi/images/Cat92.png,Restaurant,100,,,,,all ages,,,,,200016,,,
200017,HONEY CHESTNUT TREE,HONEY CHESTNUT TREE from Honey & Jams category,in stock,new,59.00 AED,https://yourwebsite.com/menu/200017,http://43.205.113.48/iposapi/images/Cat92.png,Restaurant,100,,,,,all ages,,,,,200017,,,
200019,HONEY FOREST 250G,HONEY FOREST 250G from Honey & Jams category,in stock,new,59.00 AED,https://yourwebsite.com/menu/200019,http://43.205.113.48/iposapi/images/Cat92.png,Restaurant,100,,,,,all ages,,,,,200019,,,
200020,Honey Small,Honey Small from Honey & Jams category,in stock,new,9.00 AED,https://yourwebsite.com/menu/200020,http://43.205.113.48/iposapi/images/Cat92.png,Restaurant,100,,,,,all ages,,,,,200020,,,
200018,MIEL DE SAPIN 250G,MIEL DE SAPIN 250G from Honey & Jams category,in stock,new,59.00 AED,https://yourwebsite.com/menu/200018,http://43.205.113.48/iposapi/images/Cat92.png,Restaurant,100,,,,,all ages,,,,,200018,,,
102206,PRESERVE JASMINE JAM,PRESERVE JASMINE JAM from Honey & Jams category,in stock,new,55.00 AED,https://yourwebsite.com/menu/102206,http://43.205.113.48/iposapi/images/Cat92.png,Restaurant,100,,,,,all ages,,,,,102206,,,
200099,PRESERVED ROSE PETAL 240G,PRESERVED ROSE PETAL 240G from Honey & Jams category,in stock,new,55.00 AED,https://yourwebsite.com/menu/200099,http://43.205.113.48/iposapi/images/Cat92.png,Restaurant,100,,,,,all ages,,,,,200099,,,
200014,RASPBERRY JAM 230G,RASPBERRY JAM 230G from Honey & Jams category,in stock,new,45.00 AED,https://yourwebsite.com/menu/200014,http://43.205.113.48/iposapi/images/Cat92.png,Restaurant,100,,,,,all ages,,,,,200014,,,
